,country,description,points,price,province,taster_name,taster_twitter_handle,title,variety,winery
10202,France,"Fragrant; dusty plum and rose aromas are followed on the palate by very fruity flavors of cherries and apple skins. The fine bead and rich mousse result in a creamy mouthfeel. It’s all a bit obvious and simple, but undeniably good.",87,83.0,Champagne,Joe Czerwinski,@JoeCz,Ruinart NV Brut Rosé  (Champagne),Champagne Blend,Ruinart
10705,US,"The winery indicates this is from 2015, but there is no vintage shown on the bottle. On the sweet edge of brut, it smells and tastes of plastic, with a grainy, sugary mouthfeel and simple apple fruit.",84,25.0,Oregon,Paul Gregutt,@paulgwine ,Wetzel Estate NV Cuvée Blanc Sparkling (Willamette Valley),Sparkling Blend,Wetzel Estate
10984,Italy,"This Nero d'Avola suggests mature black-skinned berry, carob and toast on the nose. Concentrated and chewy on the palate, it offers ripe black cherry, raspberry jam, clove and cocoa flavors framed by velvety, polished tannins. Thanks to its fruit richness, it's not overwhelmed by the warmth of evident alcohol. Enjoy through 2021.",90,41.0,Sicily & Sardinia,Kerin O’Keefe,@kerinokeefe,Morgante 2013 Don Antonio Nero d'Avola (Sicilia),Nero d'Avola,Morgante
10985,Italy,"Crushed dill, forest floor and moist earth aromas lead this wine's nose. Its racy palate shows red cherry, strawberry compote, licorice and clove flavors framed by youthful, fine-grained tannins and brisk acidity. A hint of tobacco marks the close. Give this a few more years to mellow before drinking.",90,70.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Olek Bondonio 2014 Starderi  (Barbaresco),Nebbiolo,Olek Bondonio
10986,Italy,"This opens with balsamic aromas of camphor, new leather, menthol and exotic spice. The tightly wound palate offers Morello cherry, cranberry, white pepper and grilled sage while assertive, close-grained tannins provide firm support.",90,50.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Pertinace 2014 Marcarini  (Barbaresco),Nebbiolo,Pertinace
10987,Portugal,"The wine has a jammy character that gives it concentration. It is sweet although with enough acidity. The blackberry jelly flavors are firmed out with some fine tannins, certainly plenty to promise good aging. Drink from 2025.",90,66.0,Port,Roger Voss,@vossroger,Quinta do Crasto 2015 Vintage  (Port),Port,Quinta do Crasto
10988,US,"Delicate in aromas of honeysuckle, Asian pear, Gravenstein apple and a smoky butter element, this shows that quality Chardonnay can indeed succeed in this warmer region of Southern California. The wine is also soft and restrained on the sip, with fresh nectarine and white-flower flavors, finishing with a familiar kiss of oak.",90,28.0,California,Matt Kettmann,@mattkettmann,Robert Renzoni 2015 Barile Chardonnay (Temecula Valley),Chardonnay,Robert Renzoni
10989,US,"This tightly wound wine offers firm purple fruit flavors, along with a touch of sweet berries. There's ample acidity and a slightly chalky finish.",90,50.0,Oregon,Paul Gregutt,@paulgwine ,Roco 2015 Marsh Estate Vineyard Pinot Noir,Pinot Noir,Roco
10990,Italy,"This savory red boasts star anise, blue flower, new leather, red berry and eucalyptus aromas. On the palate, expect Marasca cherry, cranberry, cinnamon and clove flavors set against firm tannins and racy acidity.",90,55.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Salvano 2014  Barbaresco,Nebbiolo,Salvano
10991,US,"This blend of 60% Gamay, 28% Cabernet Franc and 12% Pinot Noir, sourced from widely separate vineyards throughout Oregon, is a surprising success. The flavors are ripe, recalling sweet mulberry and blackberry, and the polished tannins wrap it up nicely. Drink up.",90,29.0,Oregon,Paul Gregutt,@paulgwine ,Sidecar 2015 G-Force Red (Oregon),Red Blend,Sidecar
11924,Italy,"Dark-skinned berry, menthol toast and tilled soil aromas come together in the glass. Full-bodied, ripe, velvety tannins underscore flavors of mature black cherry, licorice, tobacco and clove. Drink 2018–2028.",92,52.0,Tuscany,Kerin O’Keefe,@kerinokeefe,Fattoria La Lecciaia 2010 Riserva  (Brunello di Montalcino),Sangiovese,Fattoria La Lecciaia
12337,Italy,"Polished and sleek, this wine opens with tropical fruit and citrus aromas. The steely palate offers grapefruit, lemon zest and nectarine alongside energizing mineral and fresh acidity. It has a clean, refreshing finish.",88,30.0,Southern Italy,Kerin O’Keefe,@kerinokeefe,Masseria Felicia 2012 Anthologia Falanghina (Falerno del Massico),Falanghina,Masseria Felicia
12338,Croatia,"This garnet-colored wine conveys aromas of cranberry, black cherry and bramble. Flavors of dark cherry, cranberry and black plum have a strong acidic backbone and a long finish.",88,27.0,Peljesac,Jeff Jenssen,@worldwineguys,Miloš 2009 Plavac Mali (Peljesac),Plavac Mali,Miloš
12341,US,"The 10% Cabernet Sauvignon in the blend adds extra muscle to this toasty, sleek wine. It's light but polished, with pretty scents and flavors of rose water and raspberries. The generous acidity of the grape keeps it lively and fresh.",88,28.0,Washington,Paul Gregutt,@paulgwine ,Novelty Hill 2011 Stillwater Creek Vineyard Sangiovese (Columbia Valley (WA)),Sangiovese,Novelty Hill
12342,Spain,"With minerally, clean aromas of lemon-lime and seashell, this is ready for summer sipping. A tangy, citric palate offers pure orange, tangerine and lime flavors, with mango thrown in for moderate sweetness. A citrusy, cleansing palate is exactly as it should be.",88,11.0,Northern Spain,Michael Schachner,@wineschach,Pedro Escudero 2013 Fuente Milano Verdejo-Viura (Vino de la Tierra de Castilla y León),Verdejo-Viura,Pedro Escudero
12343,South Africa,"A crisp, clean and direct selection, this offers great purity and definition. Bright aromas of lime, white melon and apple carry through to the brisk, well-balanced palate, with faint hints of hay and ginger-like spice on the close. Drink now.",88,15.0,Coastal Region,Lauren Buzzeo,@laurbuzz,Raats Family 2012 Original Unwooded Chenin Blanc (Coastal Region),Chenin Blanc,Raats Family
12366,France,"A strongly perfumed wine, this is soft and just off-dry in character with some sucrosity. Crisp, fresh berry fruits are laced with acidity and finished with orange zest.",85,16.0,France Other,Roger Voss,@vossroger,Domaine Terre de Mistral 2014 Mireille Rosé (Mediterranée),Rosé,Domaine Terre de Mistral
12402,France,"While the tannins are still powerful and dense, the wine has rich berry fruits and juicy acidity that give freshness. It's ripe, well balanced, and full bodied, with a dark, concentrated character at the end. Drink from 2016.",87,12.0,Bordeaux,Roger Voss,@vossroger,Château les Reuilles 2011  Bordeaux,Bordeaux-style Red Blend,Château les Reuilles
12403,Italy,"Aromas of white spring flowers, ripe Bartlett pear and roasted almond take the lead. The juicy, round palate offers lemon pastry, juicy golden apples and a nutmeg note alongside fresh acidity. It finishes on a slightly sweet note recalling glazed brown sugar.",87,16.0,Northeastern Italy,Kerin O’Keefe,@kerinokeefe,Colterenzio 2012 Thurner Pinot Bianco (Alto Adige),Pinot Bianco,Colterenzio
12404,Portugal,"This is rich and full of superripe fruit that gives the otherwise structured wine a jammy feel. It has a solid, dense texture that brings out blackberry jelly flavors as well as a more tannic core. It's not a wine for long-term aging, so drink from 2015.",87,24.0,Alentejano,Roger Voss,@vossroger,Cortes de Cima 2012 Trincadeira (Alentejano),Trincadeira,Cortes de Cima
12407,France,"A ripe, rich and deliciously spicy wine, it has a light touch of white pepper, red berry fruits and a broad brush of acidity. It's rounded, although with some tannic structure, and can certainly be drunk now.",87,13.0,Southwest France,Roger Voss,@vossroger,Domaine D'en Ségur 2010 Merlot/Duras Red (Côtes du Tarn),Red Blend,Domaine D'en Ségur
12408,Italy,"Oak extract dominates the nose on this wine together with aromas of Golden Delicous apple and lemon zest. The palate offers lemon, oak, vanilla and clove, but it lacks the fruit richness needed to support the oak.",87,65.0,Northeastern Italy,Kerin O’Keefe,@kerinokeefe,Elena Walch 2011 Beyond the Clouds White (Alto Adige),White Blend,Elena Walch
12414,Chile,"There's zero doubt about this Chardonnay's ripeness. The nose is warm, honeyed and a bit leaden. Round in the mouth, it offers tropical flavors of orange and nectarine. On the finish, a buttery note blends with residual citrus fruit.",87,18.0,Leyda Valley,Michael Schachner,@wineschach,Santa Rita 2012 Medalla Real Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Santa Rita
12415,France,"In this crisp, fresh, very dry rosé Champagne, the red fruits are laced with acidity and apple. A touch of bitterness suggests the wine needs to age a few months in bottle, to soften and get a more generous feel.",87,59.0,Champagne,Roger Voss,@vossroger,Tendil & Lombardi NV Cuvée Rosé Brut  (Champagne),Champagne Blend,Tendil & Lombardi
12496,France,"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",86,14.0,Beaujolais,Roger Voss,@vossroger,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,Vignerons de Bel Air
12498,US,"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",86,22.0,Oregon,Paul Gregutt,@paulgwine ,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars
12499,France,"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",86,9.0,Beaujolais,Roger Voss,@vossroger,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,Henry Fessy
12919,US,"This is a knife-sharp Viognier, offering precise, chiseled flavors of citrus rind, Meyer lemon and grapefruit. The piercing acidity belies a wine whose flavors are fully ripe, and deliver an extended, mineral-drenched finish.",91,25.0,Washington,Paul Gregutt,@paulgwine ,Burnt Bridge 2012 Les Collines Vineyard Viognier (Walla Walla Valley (WA)),Viognier,Burnt Bridge
12924,France,"Effectively a Blanc de Blancs, although not labeled as such, this is a crisp, steely, mineral wine. It has a Chablis-like cut and thrust of citrus and apple fruit flavors, bright and fruity, although with an attractive bottle age toast.",91,25.0,Burgundy,Roger Voss,@vossroger,Bailly-Lapierre NV Brut  (Crémant de Bourgogne),Chardonnay,Bailly-Lapierre
13191,France,"The wine is warm and round, full of ripe berry fruits and soft tannins. It's ready to drink now with its full structure, balanced acidity and juicy aftertaste.",86,15.0,Beaujolais,Roger Voss,@vossroger,Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages),Gamay,Les Vins Aujoux
13192,France,"Soft, ripe and fruity, this is an immediately accessible, drinkable wine. It's soft with lemon and yellow fruits coming together to give a fresh, lively apéritif style of wine.",86,9.0,Southwest France,Roger Voss,@vossroger,Mont Gravet 2013 Colombard (Côtes de Gascogne),Colombard,Mont Gravet
13193,Spain,"Cherry and cassis aromas are a touch flat and jammy. This shows grabby tannins as well as loamy, earthy, lightly bitter flavors of black fruits. The finish lumbers along with size and tannic grip, but overall this blend of 65% Tempranillo, 25% Graciano and 10% Garnacha shows well.",86,12.0,Northern Spain,Michael Schachner,@wineschach,Navardia 2013 Made With Organic Grapes  (Rioja),Tempranillo Blend,Navardia
13194,Spain,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",86,15.0,Catalonia,Michael Schachner,@wineschach,Pata Negra NV Brut Sparkling (Cava),Sparkling Blend,Pata Negra
13195,Italy,"This displays evident oak sensations of sweet vanilla, toast, espresso, milk chocolate and mature black plum alongside drying tannins. There's not much fresh acidity so drink soon before it dries out.",86,20.0,Tuscany,Kerin O’Keefe,@kerinokeefe,Ridolfi 2012  Rosso di Montalcino,Sangiovese,Ridolfi
13196,US,"Grape soda, prune, leather, graphite, dust and black tobacco blend into an intriguing nose on this estate Malbec from Paso's Eastside. It's a little rustic around the edges once sipped, but pleasantly so. The mouthfeel is soft, the flavors are peppery and the tannins and acidity are built to last.",86,28.0,California,Matt Kettmann,@mattkettmann,Still Waters 2010 Malbec (Paso Robles),Malbec,Still Waters
13790,France,"André Lurton bought de Rochemorin in 1973, an estate with vines since the 16th century. This is an aromatic wine, perfumed with blackberry tones. It has plenty of fresh fruit, soft tannins and ample acidity. The structure plays a supporting role—dry while also showing some richness. Drink from 2019.",91,28.0,Bordeaux,Roger Voss,@vossroger,Château de Rochemorin 2013  Pessac-Léognan,Bordeaux-style Red Blend,Château de Rochemorin
14150,US,"This all-out Zin makes no bones about its sweetness, heavy oak spiciness and full body. Maple syrup, brown sugar and cherry jam are the dominant notes that crowd the aromas and flavors and linger on the finish. Very rich and full-bodied, it has prominent caramelized oak notes that keep the tannins from biting.",87,16.0,California,Jim Gordon,@gordone_cellars,Seven Deadly Zins 2011 Old Vine Zinfandel (Lodi),Zinfandel,Seven Deadly Zins
14152,New Zealand,"At 50,000 cases imported, this must be one of the most ubiquitous New Zealand Pinots in the United States. It's medium bodied and tightly wound, with a crisp core of mouthwatering acidity that adds zest to the flavors of dark cherry, earth and leather. Drink now.",86,19.0,Marlborough,Joe Czerwinski,@JoeCz,Oyster Bay 2011 Pinot Noir (Marlborough),Pinot Noir,Oyster Bay
14153,New Zealand,"This is a pretty solid value for the price, as long as you don't mind plenty of oak influence. A cedary note dominates the nose and casts a long shadow across the cherry-stained palate, imparting a vanilla flavor and some drying tannins along the way. Despite that, there's ample length and a mouthwatering quality to the finish. Drink now.",86,16.0,Marlborough,Joe Czerwinski,@JoeCz,Ponga 2010 Pinot Noir (Marlborough),Pinot Noir,Ponga
14154,New Zealand,"Light in weight and lacy in texture, this is a savory, subtly flavored Pinot Noir that's ready to drink. Notes of smoke, mushrooms and dried herbs intertwine with tart fruit.",86,20.0,Nelson,Joe Czerwinski,@JoeCz,Seifried 2009 Old Coach Road Pinot Noir (Nelson),Pinot Noir,Seifried
14155,Greece,"Toasted nut, rhubarb, pepper and spice box aromas abound on the nose of this plucky red. Black cherry, spice and pepper flavors follow. Clean, spicy and food friendly, this selection is ageable and assertive.",86,27.0,Naoussa,Susan Kostrzewa,@suskostrzewa,Boutari 2007 Grand Reserve Xinomavro (Naoussa),Xinomavro,Boutari
14232,France,"This has a firmly tannic structure and juicy fruit, suggesting its aging potential. It is rich and ripe, with black cherry and plum flavors that create a generous finish.",88,15.0,Beaujolais,Roger Voss,@vossroger,Vignerons de Bel Air 2011 Domaine de la Source  (Chiroubles),Gamay,Vignerons de Bel Air
14233,US,"Sporting a much-improved label design, the 2009 Natasha brings pungent, assertive scents of tomato leaf, pepper and moist earth. Sharp and focused, the fruit is there, though it's the leaf and earth components that stand out. For its earthy style, it's a well-made and complex offering.",88,40.0,Oregon,Paul Gregutt,@paulgwine ,Youngberg Hill Vineyards 2009 Natasha Pinot Noir (Willamette Valley),Pinot Noir,Youngberg Hill Vineyards
14236,France,"Bold and fruity, this is laden with bitter cherry and juicy plum flavors. The tannins are light and attractive, with juicy, refreshing acidity. Age this for a few more months.",88,17.0,Beaujolais,Roger Voss,@vossroger,Robert Perroud 2011 L'Enfer des Balloquets  (Brouilly),Gamay,Robert Perroud
14402,US,"Black fruit and cherry leads on this balanced red. Flavors of black pepper, black currant and plum on the palate are round but not overbearing. A good daily red to pair with pastas, stews and meat dishes.",84,20.0,New York,Susan Kostrzewa,@suskostrzewa,Billsboro 2007 Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,Billsboro
14404,US,"Rich orange, lemon and citrus spices lead this Viognier from Page Springs. On the palate, it's fuller bodied, with lots of spice and citrus to balance out the honeyed fruit. Pair with cheese, fruit and spicy cuisine.",84,30.0,Arizona,Susan Kostrzewa,@suskostrzewa,Page Springs 2007 La Serrana Viognier (Cochise County),Viognier,Page Springs
14406,US,"This wine has a nose of black fruits, mocha and toffee, and on the palate, warming spices, tart cherry and a touch of sweetness. The flavors aren't overly complex, but the wine is appealing, and the finish lingering.",84,35.0,New York,Susan Kostrzewa,@suskostrzewa,Shaw 2005 Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,Shaw
14467,Spain,"Flower petal, mineral and blackberry aromas solidify the bouquet on this excellent Tempranillo. The palate is big and chewy, with fine balance and driving flavors of cherry, plum, vanilla and oak resin. With a finish that's bone dry and focused, this Ribera wine is ready to drink but can last another 5–8 years in a good cellar.",91,55.0,Northern Spain,Michael Schachner,@wineschach,Protos 2006 Reserva  (Ribera del Duero),Tempranillo,Protos
14531,Portugal,"This wine is soft and fruity, although without great structure or sense of purpose. The finish is attractive and bright. Drink now.",84,9.0,Alentejano,Roger Voss,@vossroger,J. Portugal Ramos 2014 Vila Santa Loios Branco White (Alentejano),Portuguese White,J. Portugal Ramos
